price,log_price,model_year,age,mileage,log_mileage,brand,brand_group,fuel_type,transmission,accident,clean_title,row_id
10300,9.239899174217728,2013,11,51000,10.839600519357369,Ford,Ford,E85 Flex Fuel,Automatic,Accident/damage reported,Yes,1
38005,10.54547300900014,2021,3,34742,10.455733391852487,Hyundai,Hyundai,Gasoline,Automatic,Accident/damage reported,Yes,2
54598,10.907752531025471,2022,2,22372,10.015610153673077,Lexus,Lexus,Gasoline,Automatic,None reported,Unknown,3
15500,9.648595302907339,2015,9,88900,11.395278670032656,INFINITI,INFINITI,Hybrid,Automatic,None reported,Yes,4
34999,10.463074768634808,2021,3,9835,9.193804403336083,Audi,Audi,Gasoline,Automatic,None reported,Unknown,5
14798,9.602247315485496,2016,8,136397,11.8233323615274,Acura,Acura,Gasoline,Other,None reported,Unknown,6
31000,10.341742483467284,2017,7,84000,11.338583982516495,Audi,Audi,Gasoline,Automatic,None reported,Yes,7
7300,8.895629627136483,2001,23,242000,12.396697137361691,BMW,BMW,Gasoline,Automatic,None reported,Yes,8
41927,10.64368528978735,2021,3,23436,10.062071249151874,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,9
69950,11.155535980093628,2020,4,34000,10.434145214930487,Tesla,Tesla,Unknown/Other,Automatic,None reported,Yes,10
73897,11.210427510713089,2021,3,27608,10.225897085506967,Land,Land,Gasoline,Automatic,None reported,Unknown,11
184606,12.125979103231247,2019,5,22770,10.033243075528665,Aston,Other,Gasoline,Automatic,None reported,Yes,12
53500,10.887436932884098,2021,3,12500,9.433563920090563,Toyota,Toyota,Gasoline,Automatic,None reported,Yes,13
62000,11.03488966402723,2022,2,18196,9.809012024313242,Lincoln,Lincoln,Gasoline,Automatic,None reported,Yes,14
47998,10.778914622355282,2020,4,15903,9.674325928896355,Jaguar,Jaguar,Gasoline,Automatic,None reported,Unknown,15
29990,10.308619271743055,2013,11,79800,11.287291314687705,Land,Land,Gasoline,Automatic,None reported,Yes,16
16800,9.72913416539135,2013,11,61074,11.019857896125941,Dodge,Dodge,Gasoline,Automatic,None reported,Yes,17
11000,9.305650551780507,2003,21,74000,11.211833885608513,Nissan,Nissan,Gasoline,Manual,None reported,Yes,18
68750,11.138232015528818,2018,6,35250,10.470249176632354,Jaguar,Jaguar,Gasoline,Automatic,None reported,Yes,19
60000,11.002099841204238,2023,1,5400,8.594339400592892,Genesis,Genesis,Gasoline,Automatic,Unknown,Unknown,20
4500,8.411832675758411,2000,24,133510,11.80193915043174,Chevrolet,Chevrolet,E85 Flex Fuel,Automatic,None reported,Yes,21
38598,10.560955740639056,2020,4,25990,10.165505603232393,BMW,BMW,Gasoline,Automatic,None reported,Unknown,22
58504,10.976850406950787,2023,1,2823,7.945909598613133,Ford,Ford,Gasoline,Automatic,None reported,Yes,23
61000,11.018629143155449,2021,3,52000,10.859018228147887,Chevrolet,Chevrolet,Gasoline,Automatic,None reported,Yes,24
32300,10.382822509210747,2022,2,11650,9.36314729221994,Hyundai,Hyundai,Gasoline,Automatic,None reported,Yes,25
13998,9.546669741249485,2016,8,96541,11.47773342580122,Nissan,Nissan,Gasoline,Automatic,None reported,Unknown,26
59995,11.002016504398489,2021,3,17500,9.770013301136158,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,27
25700,10.154246270883311,2015,9,69000,11.141876276228,BMW,BMW,Gasoline,Automatic,None reported,Yes,28
21375,9.969977293804961,2017,7,81880,11.313022252695275,Audi,Audi,E85 Flex Fuel,Automatic,None reported,Yes,29
48000,10.778956289890028,2018,6,28800,10.268165387743457,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,30
24998,10.126551100650167,2020,4,35035,10.464131383282979,BMW,BMW,Hybrid,Automatic,None reported,Unknown,31
5999,8.699348067653093,2011,13,171000,12.049424683420915,Kia,Kia,Gasoline,Automatic,None reported,Yes,32
46900,10.75577295443437,2016,8,118700,11.684363005162105,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,33
15900,9.674074388208323,2017,7,119000,11.686887175419702,Jeep,Jeep,Gasoline,Automatic,None reported,Yes,34
33598,10.42222182037016,2018,6,44261,10.697881800112357,BMW,BMW,Gasoline,Automatic,None reported,Unknown,35
8999,9.104868739033948,2012,12,125575,11.740666431955043,Audi,Audi,Gasoline,Automatic,None reported,Yes,36
8200,9.011889433252344,2007,17,16200,9.692828247710418,Hyundai,Hyundai,Gasoline,Automatic,None reported,Yes,37
20000,9.903487552536127,2014,10,70000,11.156264806643742,BMW,BMW,Gasoline,Automatic,Accident/damage reported,Yes,38
79950,11.2891567182621,2011,13,20200,9.913487387114461,Bentley,Bentley,E85 Flex Fuel,Automatic,None reported,Yes,39
45498,10.72542364792899,2023,1,2978,7.999342952713282,Honda,Honda,Gasoline,Automatic,None reported,Unknown,40
14000,9.546812608597396,2007,17,189719,12.153304579991518,Dodge,Dodge,Diesel,Automatic,Accident/damage reported,Yes,41
75798,11.235827186058092,2019,5,9949,9.205327830152639,BMW,BMW,Gasoline,Automatic,None reported,Unknown,42
119999,11.695238688396127,2022,2,3552,8.175547596021026,Lucid,Other,Unknown/Other,Automatic,None reported,Yes,43
36880,10.51542467767053,2012,12,54000,10.896757843893464,Audi,Audi,Gasoline,Automatic,Accident/damage reported,Yes,44
43147,10.672368169181512,2021,3,51351,10.846459162991614,Chevrolet,Chevrolet,Gasoline,Automatic,None reported,Yes,45
29000,10.275051108968611,2017,7,24280,10.097449430486758,MINI,MINI,Gasoline,Automatic,Accident/damage reported,Yes,46
17500,9.769956159911606,2016,8,89148,11.39806440617846,Toyota,Toyota,Gasoline,Automatic,None reported,Yes,47
30990,10.341419850781794,2017,7,73043,11.198817278281926,Porsche,Porsche,Gasoline,Automatic,None reported,Yes,48
52500,10.868568448579715,2017,7,60000,11.002116507732017,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,Accident/damage reported,Yes,49
20848,9.945013299364627,2016,8,73549,11.205720726029584,Honda,Honda,Gasoline,CVT,Accident/damage reported,Unknown,50
19500,9.878169744551839,2005,19,110900,11.616393190430356,Hummer,Other,Gasoline,Automatic,None reported,Yes,51
73000,11.198214720130528,2013,11,39000,10.571342565808699,Porsche,Porsche,Gasoline,Automatic,None reported,Yes,52
19800,9.893437216682626,2016,8,120000,11.695255355062795,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,53
7500,8.922658299524402,2009,15,134602,11.8100849842059,Chrysler,Chrysler,Gasoline,Automatic,None reported,Yes,54
30999,10.341710224882465,2023,1,1094,6.9985096422506015,Nissan,Nissan,Gasoline,CVT,None reported,Unknown,55
6500,8.779557455883728,2010,14,83500,11.332613886815139,Audi,Audi,Gasoline,Automatic,None reported,Yes,56
28500,10.257659366256743,2014,10,37060,10.520320482745682,Ford,Ford,Gasoline,Manual,None reported,Yes,57
