price,log_price,model_year,age,mileage,log_mileage,brand,brand_group,fuel_type,transmission,accident,clean_title,row_id,z_age,z_log_mileage,y,brand_id
10300,9.239899174217728,2013,11,51000,10.839600519357369,Ford,Ford,E85 Flex Fuel,Automatic,Accident/damage reported,Yes,1,0.4081982368345969,0.1576687300492857,-1.0126216670579407,10
38005,10.54547300900014,2021,3,34742,10.455733391852487,Hyundai,Hyundai,Gasoline,Automatic,Accident/damage reported,Yes,2,-0.9125759835963774,-0.18242702958434323,0.2929521677244722,14
54598,10.907752531025471,2022,2,22372,10.015610153673077,Lexus,Lexus,Gasoline,Automatic,None reported,Unknown,3,-1.0776727611502492,-0.5723641622426627,0.6552316897498027,20
15500,9.648595302907339,2015,9,88900,11.395278670032656,INFINITI,INFINITI,Hybrid,Automatic,None reported,Yes,4,0.07800468172685332,0.6499843497641276,-0.6039255383683297,15
34999,10.463074768634808,2021,3,9835,9.193804403336083,Audi,Audi,Gasoline,Automatic,None reported,Unknown,5,-0.9125759835963774,-1.3004615451804344,0.2105539273591397,2
14798,9.602247315485496,2016,8,136397,11.8233323615274,Acura,Acura,Gasoline,Other,None reported,Unknown,6,-0.08709209582701846,1.0292281946829211,-0.6502735257901726,1
31000,10.341742483467284,2017,7,84000,11.338583982516495,Audi,Audi,Gasoline,Automatic,None reported,Yes,7,-0.25218887338089024,0.5997544096717581,0.08922164219161566,2
7300,8.895629627136483,2001,23,242000,12.396697137361691,BMW,BMW,Gasoline,Automatic,None reported,Yes,8,2.3893595674810584,1.5372136797959923,-1.3568912141391856,4
41927,10.64368528978735,2021,3,23436,10.062071249151874,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,9,-0.9125759835963774,-0.5312009043649193,0.391164448511681,20
73897,11.210427510713089,2021,3,27608,10.225897085506967,Land,Land,Gasoline,Automatic,None reported,Unknown,11,-0.9125759835963774,-0.3860557010625309,0.9579066694374205,19
53500,10.887436932884098,2021,3,12500,9.433563920090563,Toyota,Toyota,Gasoline,Automatic,None reported,Yes,13,-0.9125759835963774,-1.0880411811080515,0.6349160916084298,33
62000,11.03488966402723,2022,2,18196,9.809012024313242,Lincoln,Lincoln,Gasoline,Automatic,None reported,Yes,14,-1.0776727611502492,-0.7554044454787575,0.782368822751561,21
47998,10.778914622355282,2020,4,15903,9.674325928896355,Jaguar,Jaguar,Gasoline,Automatic,None reported,Unknown,15,-0.7474792060425056,-0.8747326365396373,0.526393781079614,16
29990,10.308619271743055,2013,11,79800,11.287291314687705,Land,Land,Gasoline,Automatic,None reported,Yes,16,0.4081982368345969,0.5543105110439814,0.056098430467386606,19
16800,9.72913416539135,2013,11,61074,11.019857896125941,Dodge,Dodge,Gasoline,Automatic,None reported,Yes,17,0.4081982368345969,0.31737182804611386,-0.5233866758843178,9
68750,11.138232015528818,2018,6,35250,10.470249176632354,Jaguar,Jaguar,Gasoline,Automatic,None reported,Yes,19,-0.417285650934762,-0.16956644190267361,0.8857111742531494,16
60000,11.002099841204238,2023,1,5400,8.594339400592892,Genesis,Genesis,Gasoline,Automatic,Unknown,Unknown,20,-1.2427695387041209,-1.8315711163669597,0.7495789999285698,11
4500,8.411832675758411,2000,24,133510,11.80193915043174,Chevrolet,Chevrolet,E85 Flex Fuel,Automatic,None reported,Yes,21,2.55445634503493,1.0102743956799356,-1.840688165517257,7
38598,10.560955740639056,2020,4,25990,10.165505603232393,BMW,BMW,Gasoline,Automatic,None reported,Unknown,22,-0.7474792060425056,-0.4395609000439431,0.3084348993633874,4
32300,10.382822509210747,2022,2,11650,9.36314729221994,Hyundai,Hyundai,Gasoline,Automatic,None reported,Yes,25,-1.0776727611502492,-1.1504283844670928,0.13030166793507902,14
59995,11.002016504398489,2021,3,17500,9.770013301136158,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,27,-0.9125759835963774,-0.7899562459151813,0.7494956631228202,24
25700,10.154246270883311,2015,9,69000,11.141876276228,BMW,BMW,Gasoline,Automatic,None reported,Yes,28,0.07800468172685332,0.42547677034687614,-0.09827457039235732,4
21375,9.969977293804961,2017,7,81880,11.313022252695275,Audi,Audi,E85 Flex Fuel,Automatic,None reported,Yes,29,-0.25218887338089024,0.5771074172668487,-0.2825435474707074,2
24998,10.126551100650167,2020,4,35035,10.464131383282979,BMW,BMW,Hybrid,Automatic,None reported,Unknown,31,-0.7474792060425056,-0.17498663922449526,-0.1259697406255018,4
5999,8.699348067653093,2011,13,171000,12.049424683420915,Kia,Kia,Gasoline,Automatic,None reported,Yes,32,0.7383917919423404,1.2295397984962166,-1.5531727736225758,18
46900,10.75577295443437,2016,8,118700,11.684363005162105,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,33,-0.08709209582701846,0.9061051517538267,0.5032521131587018,20
15900,9.674074388208323,2017,7,119000,11.686887175419702,Jeep,Jeep,Gasoline,Automatic,None reported,Yes,34,-0.25218887338089024,0.9083414974570448,-0.578446453067345,17
33598,10.42222182037016,2018,6,44261,10.697881800112357,BMW,BMW,Gasoline,Automatic,None reported,Unknown,35,-0.417285650934762,0.03210982692251536,0.16970097909449144,4
8999,9.104868739033948,2012,12,125575,11.740666431955043,Audi,Audi,Gasoline,Automatic,None reported,Yes,36,0.5732950143884686,0.9559884455632902,-1.1476521022417199,2
8200,9.011889433252344,2007,17,16200,9.692828247710418,Hyundai,Hyundai,Gasoline,Automatic,None reported,Yes,37,1.3987789021578276,-0.8583400889074562,-1.240631408023324,14
20000,9.903487552536127,2014,10,70000,11.156264806643742,BMW,BMW,Gasoline,Automatic,Accident/damage reported,Yes,38,0.2431014592807251,0.4382246141478306,-0.3490332887395411,4
79950,11.2891567182621,2011,13,20200,9.913487387114461,Bentley,Bentley,E85 Flex Fuel,Automatic,None reported,Yes,39,0.7383917919423404,-0.6628421359477655,1.0366358769864323,3
45498,10.72542364792899,2023,1,2978,7.999342952713282,Honda,Honda,Gasoline,Automatic,None reported,Unknown,40,-1.2427695387041209,-2.3587216703522147,0.4729028066533214,13
14000,9.546812608597396,2007,17,189719,12.153304579991518,Dodge,Dodge,Diesel,Automatic,Accident/damage reported,Yes,41,1.3987789021578276,1.321574541258588,-0.7057082326782727,9
75798,11.235827186058092,2019,5,9949,9.205327830152639,BMW,BMW,Gasoline,Automatic,None reported,Unknown,42,-0.5823824284886338,-1.2902521046841022,0.9833063447824237,4
119999,11.695238688396127,2022,2,3552,8.175547596021026,Lucid,Other,Unknown/Other,Automatic,None reported,Yes,43,-1.0776727611502492,-2.202609183184483,1.4427178471204591,28
36880,10.51542467767053,2012,12,54000,10.896757843893464,Audi,Audi,Gasoline,Automatic,Accident/damage reported,Yes,44,0.5732950143884686,0.20830855386822467,0.26290383639486237,2
43147,10.672368169181512,2021,3,51351,10.846459162991614,Chevrolet,Chevrolet,Gasoline,Automatic,None reported,Yes,45,-0.9125759835963774,0.16374530042926824,0.41984732790584367,7
29000,10.275051108968611,2017,7,24280,10.097449430486758,MINI,MINI,Gasoline,Automatic,Accident/damage reported,Yes,46,-0.25218887338089024,-0.4998568048225826,0.022530267692943085,25
30990,10.341419850781794,2017,7,73043,11.198817278281926,Porsche,Porsche,Gasoline,Automatic,None reported,Yes,48,-0.25218887338089024,0.4759249383723693,0.08889900950612528,29
52500,10.868568448579715,2017,7,60000,11.002116507732017,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,Accident/damage reported,Yes,49,-0.25218887338089024,0.30165344392188287,0.6160476073040471,24
20848,9.945013299364627,2016,8,73549,11.205720726029584,Honda,Honda,Gasoline,CVT,Accident/damage reported,Unknown,50,-0.08709209582701846,0.48204120396950945,-0.30750754191104157,13
19500,9.878169744551839,2005,19,110900,11.616393190430356,Hummer,Other,Gasoline,Automatic,None reported,Yes,51,1.7289724572655711,0.8458857578098713,-0.3743510967238297,28
73000,11.198214720130528,2013,11,39000,10.571342565808699,Porsche,Porsche,Gasoline,Automatic,None reported,Yes,52,0.4081982368345969,-0.08000046836035743,0.9456938788548594,29
19800,9.893437216682626,2016,8,120000,11.695255355062795,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,None reported,Yes,53,-0.08709209582701846,0.915755475389896,-0.3590836245930422,24
7500,8.922658299524402,2009,15,134602,11.8100849842059,Chrysler,Chrysler,Gasoline,Automatic,None reported,Yes,54,1.068585347050084,1.0174913812636697,-1.3298625417512664,8
6500,8.779557455883728,2010,14,83500,11.332613886815139,Audi,Audi,Gasoline,Automatic,None reported,Yes,56,0.9034885694962123,0.5944650684201755,-1.4729633853919406,2
28500,10.257659366256743,2014,10,37060,10.520320482745682,Ford,Ford,Gasoline,Manual,None reported,Yes,57,0.2431014592807251,-0.12520463629783307,0.005138524981074255,10
42000,10.645424897265505,2018,6,40000,10.596659732783579,Volvo,Volvo,Plug-In Hybrid,Automatic,None reported,Yes,59,-0.417285650934762,-0.05757015193795533,0.39290405598983646,35
144900,11.883799128308773,2018,6,8940,9.098402718735318,Audi,Audi,Gasoline,Automatic,None reported,Unknown,60,-0.417285650934762,-1.3849848243825906,1.6312782870331048,2
10000,9.210340371976184,2014,10,186000,12.133507329024972,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,Accident/damage reported,Yes,61,0.2431014592807251,1.3040347192115975,-1.0421804692994847,24
23998,10.085725772524334,2021,3,13180,9.486531677712465,Toyota,Toyota,Gasoline,CVT,None reported,Unknown,62,-0.9125759835963774,-1.0411131988095892,-0.16679506875133399,33
21000,9.95227771670556,2014,10,104000,11.552155793461898,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,63,0.2431014592807251,0.788973183761454,-0.30024312457010893,20
67900,11.125791313546788,2023,1,8500,9.04793908261736,BMW,BMW,Hybrid,Automatic,None reported,Yes,64,-1.2427695387041209,-1.429694223624374,0.8732704722711198,4
46900,10.75577295443437,2023,1,6090,8.714567550836485,Cadillac,Cadillac,Gasoline,Automatic,None reported,Yes,66,-1.2427695387041209,-1.725052268680736,0.5032521131587018,6
99000,11.502875129116727,2022,2,4900,8.497194544909547,Lucid,Other,Unknown/Other,Automatic,None reported,Yes,67,-1.0776727611502492,-1.9176387973973086,1.2503542878410592,28
31000,10.341742483467284,2019,5,47523,10.768990125578178,Audi,Audi,Gasoline,Automatic,None reported,Yes,68,-0.5823824284886338,0.09510985540311483,0.08922164219161566,2
19995,9.90323752128092,2006,18,43000,10.668978650219241,Chrysler,Chrysler,Gasoline,Automatic,Accident/damage reported,Yes,69,1.5638756797116993,0.006502427865978514,-0.3492833199947487,8
130000,11.77528972943772,2017,7,14684,9.59458184363272,Bentley,Bentley,Gasoline,Automatic,None reported,Yes,70,-0.25218887338089024,-0.9453837116403039,1.5227688881620516,3
49950,10.8187777840767,2023,1,952,6.859614903654202,Toyota,Toyota,Gasoline,Manual,None reported,Yes,72,-1.2427695387041209,-3.368489501059657,0.5662569428010311,33
59950,11.00126616045566,2019,5,21240,9.963688555226884,Audi,Audi,Gasoline,Automatic,Accident/damage reported,Yes,73,-0.5823824284886338,-0.6183652761690576,0.7487453191799922,2
42499,10.657235825223923,2019,5,59338,10.991022041663719,Porsche,Porsche,Gasoline,Automatic,None reported,Yes,74,-0.5823824284886338,0.29182405089791386,0.40471498394825467,29
44999,10.714395546283317,2019,5,23230,10.053242872620965,Maserati,Maserati,Gasoline,Automatic,None reported,Yes,75,-0.5823824284886338,-0.5390226041341265,0.4618747050076486,22
30000,10.308952660644293,2017,7,48000,10.778977123006351,Jaguar,Jaguar,Gasoline,Automatic,Accident/damage reported,Yes,76,-0.25218887338089024,0.1039580615490046,0.0564318193686244,16
11100,9.314700387300425,2005,19,41059,10.622789690572924,Lexus,Lexus,Gasoline,Automatic,None reported,Yes,77,1.7289724572655711,-0.03441972511884938,-0.9378204539752435,20
37998,10.545288805744486,2020,4,21240,9.963688555226884,Land,Land,Gasoline,Automatic,None reported,Unknown,78,-0.7474792060425056,-0.6183652761690576,0.29276796446881725,19
72000,11.184421397998193,2015,9,11500,9.350189267092581,Porsche,Porsche,Gasoline,Automatic,None reported,Yes,79,0.07800468172685332,-1.161908839768608,0.9319005567225247,29
53950,10.895812970686281,2021,3,9950,9.205428327615163,Genesis,Genesis,Gasoline,Automatic,None reported,Yes,80,-0.9125759835963774,-1.2901630666852493,0.6432921294106126,11
47999,10.778935456339678,2023,1,633,6.452048954437226,Volkswagen,Volkswagen,Gasoline,Manual,None reported,Yes,81,-1.2427695387041209,-3.72958176754446,0.5264146150640094,34
15900,9.674074388208323,2015,9,66000,11.097425172408931,Hyundai,Hyundai,Hybrid,Automatic,Accident/damage reported,Yes,82,0.07800468172685332,0.3860943100196176,-0.578446453067345,14
45000,10.714417768752456,2014,10,59715,10.99735527017348,Audi,Audi,Gasoline,Automatic,Accident/damage reported,Yes,83,0.2431014592807251,0.2974351178703871,0.4618969274767881,2
55000,10.915088464214607,2016,8,25500,10.146472946063877,BMW,BMW,Gasoline,Automatic,None reported,Yes,86,-0.08709209582701846,-0.45642331293052363,0.6625676229389388,4
2300,7.7406644019172415,2004,20,210703,12.258209583950002,Subaru,Subaru,Gasoline,Manual,Unknown,Unknown,87,1.894069234819443,1.4145175010856852,-2.511856439358427,31
34000,10.4341158035983,2023,1,3800,8.24301946898925,Hyundai,Hyundai,Gasoline,Manual,None reported,Yes,88,-1.2427695387041209,-2.1428309520028095,0.18159496232263095,14
31995,10.37333491957356,2022,2,36602,10.507885483243443,Kia,Kia,Hybrid,Automatic,None reported,Yes,89,-1.0776727611502492,-0.13622170522281857,0.12081407829789192,18
29900,10.305613759378778,2018,6,33000,10.404293143019792,Mercedes-Benz,Mercedes-Benz,Gasoline,Automatic,Accident/damage reported,Yes,91,-0.417285650934762,-0.22800168093886852,0.053092918103109454,24
